Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
one.tickets,available,132,44%,3,"Business,General,Media,Technology",,,
brief.tickets,available,124,19%,5,"Business,Education,General,Law",,,
second.tickets,available,120,23%,6,"General,Mathematics",,,
complete.tickets,available,120,21%,8,"Manufacturing,Retail,Technology",,,
wizard.tickets,available,118,42%,6,"Entertainment,Media,Technology",,,
tenth.tickets,available,116,7%,5,Mathematics,,,
equal.tickets,available,116,19%,5,"Education,General,Law",,,
flat.tickets,available,116,24%,4,"Construction,Real Estate",,,
tonic.tickets,available,114,22%,5,"Health and Fitness,Medicine,Science",,,
hotshot.tickets,available,112,14%,7,"Business,Entertainment,Sports",,,
above.tickets,available,112,22%,5,Business,,,
zero.tickets,available,112,49%,4,Mathematics,,,
acute.tickets,available,112,9%,5,"Mathematics,Medicine,Science",,,
abstract.tickets,available,108,29%,8,"Arts,Humanities,Science",,,
abiding.tickets,available,106,5%,7,"General,Religion",,,
active.tickets,available,104,27%,6,"Health and Fitness,Sports,Travel",,,
teen.tickets,available,104,14%,4,"Education,Entertainment,Healthcare",,,
expert.tickets,available,104,26%,6,"Business,Education,Technology",,,
absent.tickets,available,102,8%,6,"Business,Education,Technology",,,
captive.tickets,available,102,14%,7,"Entertainment,Hospitality,Technology",,,
eight.tickets,available,102,23%,5,"General,Mathematics",,,
sixth.tickets,available,100,8%,5,Mathematics,,,
abrupt.tickets,available,100,3%,6,"Medicine,Science",,,
adjunct.tickets,available,100,5%,7,Education,,,
crack.tickets,available,100,20%,5,Sports,,,
whiz.tickets,available,100,12%,4,"Business,Education,Technology",,,
eighth.tickets,available,100,6%,6,Mathematics,,,
ninth.tickets,available,100,9%,5,Mathematics,,,
remove.tickets,available,100,13%,6,"Construction,Manufacturing,Technology",,,
third.tickets,available,100,16%,5,Mathematics,,,
whizz.tickets,available,98,11%,5,"Business,Education,Technology",,,
genius.tickets,available,98,46%,6,"Arts,Education,Technology",,,
doable.tickets,available,96,9%,6,"Business,Education,Technology",,,
alamode.tickets,available,96,12%,9,Fashion,,,
actual.tickets,available,96,22%,6,"Real Estate,Retail,Technology",,,
academic.tickets,available,96,20%,8,"Education,Humanities,Science",,,
forgiving.tickets,available,96,3%,9,"Healthcare,Religion",,,
about.tickets,available,94,28%,5,"Business,General,Media,Technology",,,
adequate.tickets,available,94,9%,8,"Education,Healthcare,Technology",,,
abject.tickets,available,94,7%,6,Humanities,,,
around.tickets,available,94,22%,6,"Business,General,Media,Technology",,,
virtuoso.tickets,available,94,16%,8,"Arts,Entertainment",,,
derelict.tickets,available,92,7%,8,"Construction,Real Estate",,,
exemplary.tickets,available,92,5%,9,"Business,Education,Healthcare",,,
neutral.tickets,available,92,20%,7,"Business,Media,Politics",,,
nought.tickets,available,92,4%,6,Mathematics,,,
twentieth.tickets,available,92,3%,9,Mathematics,,,
adjective.tickets,available,92,5%,9,Education,,,
adept.tickets,available,92,24%,5,"Education,Health and Fitness,Sports",,,
next.tickets,available,92,43%,4,"Retail,Technology,Transportation",,,
abroad.tickets,available,92,12%,6,"Hospitality,Travel",,,
leash.tickets,available,90,7%,5,"General,Health and Fitness,Retail",,,
clear.tickets,available,90,47%,5,"Manufacturing,Retail,Technology",,,
gripping.tickets,available,90,3%,8,"Entertainment,Media,Technology",,,
endearing.tickets,available,90,1%,9,"Entertainment,Fashion,Retail",,,
additional.tickets,available,90,8%,10,"Fashion,Retail,Technology",,,
adoring.tickets,available,90,2%,7,"Entertainment,Fashion,Retail",,,
abortive.tickets,available,90,1%,8,"Medicine,Science",,,
riveting.tickets,available,90,6%,8,"Entertainment,Media,Technology",,,
addictive.tickets,available,90,9%,9,Healthcare,,,
fifteen.tickets,available,88,13%,7,Mathematics,,,
proficient.tickets,available,88,8%,10,"Education,Health and Fitness,Sports",,,
activist.tickets,available,88,12%,8,"Humanities,Politics",,,
hundred.tickets,available,88,14%,7,Mathematics,,,
wide.tickets,available,88,18%,4,"Business,Media,Technology",,,
three.tickets,available,88,24%,5,Mathematics,,,
ten.tickets,available,88,28%,3,"General,Mathematics",,,
adlib.tickets,available,88,7%,6,Entertainment,,,
sixteen.tickets,available,88,11%,7,Mathematics,,,
eleven.tickets,available,88,33%,6,Mathematics,,,
ace.tickets,available,88,34%,3,Sports,,,
twelve.tickets,available,88,18%,6,"General,Mathematics",,,
actionable.tickets,available,88,13%,10,"Business,Law",,,
recondite.tickets,available,86,4%,9,"Arts,Humanities,Science",,,
intent.tickets,available,86,25%,6,"Business,Education,Technology",,,
engrossing.tickets,available,86,0%,10,"Entertainment,Media,Technology",,,
star.tickets,available,86,40%,4,"Entertainment,Media,Sports",,,
xix.tickets,available,86,11%,3,Mathematics,,,
adolescent.tickets,available,86,3%,10,"Education,Entertainment,Healthcare",,,
cipher.tickets,available,86,29%,6,Mathematics,,,
extempore.tickets,available,86,3%,9,Entertainment,,,
attendant.tickets,available,86,5%,9,"Healthcare,Hospitality,Transportation",,,
xiv.tickets,available,86,12%,3,Mathematics,,,
aboriginal.tickets,available,86,10%,10,Humanities,,,
adjustable.tickets,available,84,3%,10,"Manufacturing,Retail,Technology",,,
accessory.tickets,available,84,8%,9,"Fashion,Retail,Technology",,,
grand.tickets,available,84,25%,5,"Finance,General",,,
thirteen.tickets,available,84,10%,8,Mathematics,,,
seventeen.tickets,available,84,7%,9,Mathematics,,,
fourteen.tickets,available,84,8%,8,Mathematics,,,
deviate.tickets,available,84,12%,7,"Medicine,Science",,,
twentyone.tickets,available,84,13%,10,Mathematics,,,
thousand.tickets,available,84,8%,8,Mathematics,,,
twentytwo.tickets,available,84,11%,10,Mathematics,,,
nineteen.tickets,available,84,8%,8,Mathematics,,,
sharp.tickets,available,84,34%,5,"Arts,Fashion",,,
acting.tickets,available,84,12%,6,Entertainment,,,
enduring.tickets,available,82,9%,8,"Health and Fitness,Religion",,,
abenaki.tickets,available,82,2%,7,Geography,,,
cleansing.tickets,available,82,3%,9,Health and Fitness,,,
abroach.tickets,available,82,1%,7,Food and Beverage,,,
abkhaz.tickets,available,82,1%,6,Geography,,,
decade.tickets,available,82,10%,6,Mathematics,,,
impromptu.tickets,available,82,16%,9,Entertainment,,,
absorbent.tickets,available,82,3%,9,"Healthcare,Manufacturing,Retail",,,
fivesome.tickets,available,82,1%,8,Sports,,,
dozen.tickets,available,82,10%,5,Mathematics,,,
abdominal.tickets,available,82,1%,9,"Health and Fitness,Medicine",,,
altered.tickets,available,82,9%,7,"Medicine,Science",,,
two.tickets,available,80,24%,3,Mathematics,,,
superstar.tickets,available,80,18%,9,Entertainment,,,
dorsal.tickets,available,80,6%,6,"Medicine,Science",,,
capable.tickets,available,80,12%,7,"Business,Education,Technology",,,
worshipful.tickets,available,80,1%,10,"Education,Healthcare,Religion",,,
first.tickets,available,80,36%,5,"General,Mathematics",,,
some.tickets,available,80,32%,4,"Business,Media,Retail",,,
absurd.tickets,available,80,16%,6,"Arts,Entertainment,Media",,,
absorbable.tickets,available,80,0%,10,"Healthcare,Pharmaceuticals,Science",,,
abundant.tickets,available,80,19%,8,"Agriculture,Manufacturing,Retail",,,
forty.tickets,available,80,9%,5,Mathematics,,,
twenty.tickets,available,80,12%,6,Mathematics,,,
absolute.tickets,available,80,25%,8,"Engineering,Mathematics,Science",,,
able.tickets,available,80,29%,4,"Business,Education,General,Technology",,,
trio.tickets,available,80,21%,4,Entertainment,,,
seventh.tickets,available,80,10%,7,Mathematics,,,
adoptable.tickets,available,80,3%,9,"Education,Healthcare",,,
yard.tickets,available,80,26%,4,"Construction,General",,,
nine.tickets,available,80,24%,4,"General,Mathematics",,,
wiz.tickets,available,80,30%,3,"Business,Education,Technology",,,
sequent.tickets,available,80,7%,7,"Healthcare,Insurance,Transportation",,,
adjacent.tickets,available,78,9%,8,"Construction,Real Estate,Retail",,,
twentysix.tickets,available,78,8%,10,Mathematics,,,
sixtynine.tickets,available,78,8%,10,Mathematics,,,
abounding.tickets,available,78,2%,9,Agriculture,,,
accidental.tickets,available,78,11%,10,"Healthcare,Insurance,Transportation",,,
adorable.tickets,available,78,8%,8,"Entertainment,Fashion,Retail",,,
athletic.tickets,available,78,15%,8,"Health and Fitness,Sports",,,
accessible.tickets,available,78,21%,10,"Healthcare,Retail,Technology",,,
abkhazian.tickets,available,78,1%,9,Geography,,,
absorptive.tickets,available,78,1%,10,"Healthcare,Manufacturing,Retail",,,
dormant.tickets,available,78,4%,7,"Medicine,Science",,,
acceptant.tickets,available,78,1%,9,"Education,Healthcare",,,
accepted.tickets,available,78,6%,8,"Business,Education,Technology",,,
low.tickets,available,78,20%,3,"Business,Finance",,,
honestly.tickets,available,78,9%,8,"Business,Law",,,
accurate.tickets,available,78,16%,8,"Engineering,Mathematics,Science",,,
acceptable.tickets,available,78,5%,10,"Business,Hospitality,Retail",,,
recognised.tickets,available,78,3%,10,"Business,Education,Technology",,,
adrenal.tickets,available,78,4%,7,"Education,Healthcare,Science",,,
recognized.tickets,available,78,3%,10,"Business,Education,Technology",,,
abkhasian.tickets,available,78,1%,9,Geography,,,
hundredth.tickets,available,76,1%,9,Mathematics,,,
incidental.tickets,available,76,4%,10,"Healthcare,Insurance,Transportation",,,
adhesive.tickets,available,76,7%,8,"Construction,Manufacturing,Technology",,,
ancillary.tickets,available,76,6%,9,"Healthcare,Manufacturing,Technology",,,
adipose.tickets,available,76,2%,7,"Healthcare,Science",,,
nineteenth.tickets,available,76,3%,10,Mathematics,,,
ventral.tickets,available,76,3%,7,Science,,,
eighteen.tickets,available,76,7%,8,Mathematics,,,
obscene.tickets,available,76,5%,7,"Entertainment,Media",,,
acoustic.tickets,available,76,14%,8,Science,,,
improvise.tickets,available,76,4%,9,Entertainment,,,
thirteenth.tickets,available,76,4%,10,Mathematics,,,
resultant.tickets,available,76,2%,9,"Healthcare,Insurance,Transportation",,,
fifteenth.tickets,available,76,2%,9,Mathematics,,,
auxiliary.tickets,available,76,7%,9,"Healthcare,Manufacturing,Technology",,,
adaptive.tickets,available,76,28%,8,"Business,Education,Technology",,,
thousandth.tickets,available,76,1%,10,Mathematics,,,
adherent.tickets,available,76,4%,8,"Politics,Religion",,,
fourteenth.tickets,available,76,1%,10,Mathematics,,,
diamond.tickets,available,76,32%,7,Fashion,,,
threed.tickets,available,76,7%,7,Technology,,,
energizing.tickets,available,76,3%,10,"Food and Beverage,Health and Fitness,Travel",,,
addable.tickets,available,76,2%,7,"Engineering,Mathematics,Science",,,
firstrate.tickets,available,76,6%,10,Business,,,
abrasive.tickets,available,76,6%,8,"Construction,Manufacturing",,,
ague.tickets,available,76,2%,4,"Geography,Medicine,Science",,,
adaptable.tickets,available,76,9%,9,"Business,Education,Technology",,,
broad.tickets,available,74,13%,5,"Entertainment,General,Media",,,
supra.tickets,available,74,25%,5,"Medicine,Science",,,
achievable.tickets,available,74,4%,10,"Business,Education,Technology",,,
